symbol,cluster_id,squeeze_timestamp,squeeze_score,conditions,adx,h4_trend_bias,d1_trend_bias,h4_ma_slope,d1_ma_slope,anchor_range_pct,breakout_timestamp,breakout_direction,breakout_bar_idx,entry_price,returns_1bar,returns_5bar,returns_10bar,returns_20bar,max_drawdown_pct,max_runup_pct,hit_1r,hit_2r,hit_3r,stop_triggered,stop_after_entry,stop_bar_idx,pnl_5bar,pnl_10bar,pnl_20bar
EURUSD,EURUSD_20250609_09,2025-06-09 09:00:00,3,Pivot+SR+ADX<20,18.304933118303435,neutral,bearish,-0.03878942588209212,-0.23146609060377796,0.5653871063733071,2025-06-10 13:00:00,up,28,1.14425,0.0,-0.1747869783701116,-0.12409875464277709,-0.10487218702205531,-0.29975966790474495,0.0,False,False,False,False,False,,-0.1747869783701116,-0.12409875464277709,-0.10487218702205531
EURUSD,EURUSD_20250610_11,2025-06-10 11:00:00,2,ADX<20+ADX<13,12.085811144084364,neutral,bearish,-0.03878942588209212,-0.23146609060377796,0.5486140277194455,2025-06-10 13:00:00,up,2,1.14425,0.0,-0.1747869783701116,-0.12409875464277709,-0.10487218702205531,-0.29975966790474495,0.0,False,False,False,False,False,,-0.1747869783701116,-0.12409875464277709,-0.10487218702205531
EURUSD,EURUSD_20250610_17,2025-06-10 17:00:00,2,ADX<20+ADX<13,11.357169377102872,neutral,bearish,-0.03878942588209212,-0.23146609060377796,0.6548478879404818,2025-06-11 12:00:00,up,19,1.14602,0.0,0.25304968499676295,0.2408334933072611,0.5750335945271351,0.0,0.7294811608872378,True,False,False,False,False,,0.25304968499676295,0.2408334933072611,0.5750335945271351
EURUSD,EURUSD_20250611_02,2025-06-11 02:00:00,2,BB+ADX<20,14.038142212198164,neutral,bearish,-0.03878942588209212,-0.23146609060377796,0.6552724023442767,2025-06-11 12:00:00,up,10,1.14602,0.0,0.25304968499676295,0.2408334933072611,0.5750335945271351,0.0,0.7294811608872378,True,False,False,False,False,,0.25304968499676295,0.2408334933072611,0.5750335945271351
EURUSD,EURUSD_20250611_08,2025-06-11 08:00:00,5,BB+Pivot+SR+ADX<20+ADX<13,12.154163839818477,neutral,bearish,-0.03878942588209212,-0.23146609060377796,0.370937404313024,2025-06-11 12:00:00,up,4,1.14602,0.0,0.25304968499676295,0.2408334933072611,0.5750335945271351,0.0,0.7294811608872378,True,True,False,False,False,,0.25304968499676295,0.2408334933072611,0.5750335945271351
EURUSD,EURUSD_20250616_02,2025-06-16 02:00:00,2,ADX<20+ADX<13,12.622987414876786,neutral,bearish,-0.03878942588209212,-0.23146609060377796,0.6990338415638894,2025-06-16 07:00:00,up,5,1.15784,0.0,-0.05009327713673953,0.04491121398466766,-0.17273543840254282,-0.2487390312996609,0.19519104539486706,False,False,False,False,False,,-0.05009327713673953,0.04491121398466766,-0.17273543840254282
EURUSD,EURUSD_20250617_07,2025-06-17 07:00:00,2,ADX<20+ADX<13,12.958440773816507,neutral,bearish,-0.03878942588209212,-0.23146609060377796,0.6229720960415205,2025-06-17 14:00:00,down,7,1.15263,0.0,-0.4086306967543784,-0.38780875042294355,-0.19954365234290003,-0.06506858228573163,0.4468042650286725,False,False,False,False,False,,0.4086306967543784,0.38780875042294355,0.19954365234290003
EURUSD,EURUSD_20250617_13,2025-06-17 13:00:00,5,BB+Pivot+SR+ADX<20+ADX<13,10.443899075117884,neutral,bearish,-0.03878942588209212,-0.23146609060377796,0.3659644417528188,2025-06-17 14:00:00,down,1,1.15263,0.0,-0.4086306967543784,-0.38780875042294355,-0.19954365234290003,-0.06506858228573163,0.4468042650286725,False,False,False,False,False,,0.4086306967543784,0.38780875042294355,0.19954365234290003
EURUSD,EURUSD_20250618_12,2025-06-18 12:00:00,3,BB+Pivot+SR,22.301991220394434,neutral,bearish,-0.03878942588209212,-0.23146609060377796,0.560591706719284,2025-06-19 01:00:00,down,13,1.14528,0.0,0.02968706342553847,0.17899552947749767,0.39029756915339253,-0.39029756915339253,0.0,False,False,False,False,False,,-0.02968706342553847,-0.17899552947749767,-0.39029756915339253
EURUSD,EURUSD_20250618_18,2025-06-18 18:00:00,4,BB+Pivot+SR+ADX<20,17.181410288917487,neutral,bearish,-0.03878942588209212,-0.23146609060377796,0.48455270382151805,2025-06-19 01:00:00,down,7,1.14528,0.0,0.02968706342553847,0.17899552947749767,0.39029756915339253,-0.39029756915339253,0.0,False,False,False,False,False,,-0.02968706342553847,-0.17899552947749767,-0.39029756915339253
