symbol,timeframe,squeeze_timestamp,squeeze_score,conditions,adx,bb_width,pivot_range,sr_range,anchor_range_pct,breakout_timestamp,breakout_direction,breakout_bar_idx,entry_price,returns_1bar,returns_5bar,returns_10bar,returns_20bar,max_drawdown_pct,max_runup_pct,hit_1r,hit_2r,hit_3r,stop_triggered,stop_bar_idx,pnl_5bar,pnl_10bar,pnl_20bar
EURUSD,H1,2025-12-10 05:00:00,3,BB+Pivot+SR,26.451969042495048,0.0022728701343000556,0.33793660893941124,0.33793660893941124,0.36287340705454385,2025-12-10 19:00:00,up,14,1.16779,0.0,0.19952217436353653,0.10447083807876405,0.5086530968752802,0.0,0.6696409457179747,True,False,False,False,,0.19952217436353653,0.10447083807876405,0.5086530968752802
EURUSD,H1,2025-12-10 14:00:00,3,Pivot+SR+ADX<20,17.557954079066512,0.002850149463693349,0.31006020836734083,0.31006020836734083,0.3512870504771085,2025-12-10 19:00:00,up,5,1.16779,0.0,0.19952217436353653,0.10447083807876405,0.5086530968752802,0.0,0.6696409457179747,True,False,False,False,,0.19952217436353653,0.10447083807876405,0.5086530968752802
EURUSD,H1,2025-12-12 19:00:00,3,BB+Pivot+SR,23.593182238179335,0.002105384966452931,0.25894157630683995,0.25894157630683995,0.25894157630683995,2025-12-15 12:00:00,up,17,1.17527,0.0,0.021271707777794333,-0.0034034732444493607,-0.005956078177781658,-0.08423596280004138,0.09019204097782305,False,False,False,False,,0.021271707777794333,-0.0034034732444493607,-0.005956078177781658
EURUSD,H1,2025-12-15 01:00:00,4,BB+Pivot+SR+ADX<20,18.483959578508095,0.0021460346911589606,0.2589195220209292,0.2589195220209292,0.2589195220209292,2025-12-15 12:00:00,up,11,1.17527,0.0,0.021271707777794333,-0.0034034732444493607,-0.005956078177781658,-0.08423596280004138,0.09019204097782305,False,False,False,False,,0.021271707777794333,-0.0034034732444493607,-0.005956078177781658
EURUSD,H1,2025-12-15 07:00:00,4,BB+Pivot+SR+ADX<20,13.626404741530884,0.0019415344506401228,0.2592065210903669,0.2592065210903669,0.2592065210903669,2025-12-15 12:00:00,up,5,1.17527,0.0,0.021271707777794333,-0.0034034732444493607,-0.005956078177781658,-0.08423596280004138,0.09019204097782305,False,False,False,False,,0.021271707777794333,-0.0034034732444493607,-0.005956078177781658
EURUSD,H1,2025-12-16 04:00:00,3,BB+ADX<20+ADX<13,11.818720399035849,0.0019069647770050245,0.32678626136093425,0.32678626136093425,0.3616775028083269,2025-12-16 12:00:00,up,8,1.17776,0.0,-0.07556717837248976,-0.25302268713489867,-0.5518951229452478,-0.5782162749626395,0.1850971335416444,False,False,False,True,25.0,-0.07556717837248976,-0.25302268713489867,-0.5518951229452478
EURUSD,H1,2025-12-16 10:00:00,5,BB+Pivot+SR+ADX<20+ADX<13,11.666635189887938,0.0014294683634586453,0.259419920047631,0.259419920047631,0.259419920047631,2025-12-16 12:00:00,up,2,1.17776,0.0,-0.07556717837248976,-0.25302268713489867,-0.5518951229452478,-0.5782162749626395,0.1850971335416444,False,False,False,True,9.0,-0.07556717837248976,-0.25302268713489867,-0.5518951229452478
EURUSD,H1,2025-12-19 12:00:00,4,BB+Pivot+SR+ADX<20,18.560495894808664,0.0019213603480465235,0.21776817510267815,0.21776817510267815,0.3646549441915673,2025-12-22 13:00:00,up,25,1.17503,0.0,0.06467919968001616,0.0723385785894843,0.2876522301558206,-0.008510421010526454,0.35743768244214885,False,False,False,True,1.0,0.06467919968001616,0.0723385785894843,0.2876522301558206
EURUSD,H1,2025-12-19 18:00:00,4,BB+Pivot+SR+ADX<20,16.448473891784996,0.001978956227579439,0.29778919255612285,0.29778919255612285,0.29778919255612285,2025-12-22 12:00:00,up,18,1.17414,0.0,0.06728328819391798,0.1677823768886187,0.3142725739690302,0.0,0.36367043112405645,True,False,False,False,,0.06728328819391798,0.1677823768886187,0.3142725739690302
EURUSD,H1,2025-12-22 00:00:00,4,BB+Pivot+SR+ADX<20,16.416612214996647,0.001877009501314214,0.29789594981008005,0.29789594981008005,0.29789594981008005,2025-12-22 12:00:00,up,12,1.17414,0.0,0.06728328819391798,0.1677823768886187,0.3142725739690302,0.0,0.36367043112405645,True,False,False,False,,0.06728328819391798,0.1677823768886187,0.3142725739690302
EURUSD,H1,2025-12-22 07:00:00,4,BB+Pivot+SR+ADX<20,14.423919650855606,0.001922280397145243,0.2975632215268654,0.2975632215268654,0.2975632215268654,2025-12-22 12:00:00,up,5,1.17414,0.0,0.06728328819391798,0.1677823768886187,0.3142725739690302,0.0,0.36367043112405645,True,False,False,False,,0.06728328819391798,0.1677823768886187,0.3142725739690302
EURUSD,H1,2025-12-26 02:00:00,3,Pivot+SR+ADX<20,19.27571461276263,0.0025053988597683817,0.24678166183279635,0.24678166183279635,0.26543869468614434,2025-12-26 16:00:00,down,14,1.17648,0.0,0.08329933360532953,0.161498708010337,0.005099959200322061,-0.161498708010337,0.07734938120494751,False,False,False,False,,-0.08329933360532953,-0.161498708010337,-0.005099959200322061
