symbol,timeframe,squeeze_timestamp,squeeze_score,conditions,adx,bb_width,pivot_range,sr_range,anchor_range_pct,breakout_timestamp,breakout_direction,breakout_bar_idx,entry_price,returns_1bar,returns_5bar,returns_10bar,returns_20bar,max_drawdown_pct,max_runup_pct,hit_1r,hit_2r,hit_3r,stop_triggered,stop_bar_idx,pnl_5bar,pnl_10bar,pnl_20bar
EURUSD,H1,2025-12-10 05:00:00,3,BB+Pivot+SR,26.451969042495048,0.0022728701343000556,0.33793660893941124,0.33793660893941124,0.36287340705454385,2025-12-10 19:00:00,up,14,1.16779,0.0,0.19952217436353653,0.10447083807876405,0.5086530968752802,0.0,0.6696409457179747,True,False,False,False,,0.19952217436353653,0.10447083807876405,0.5086530968752802
EURUSD,H1,2025-12-10 14:00:00,3,Pivot+SR+ADX<20,17.557954079066512,0.002850149463693349,0.31006020836734083,0.31006020836734083,0.3512870504771085,2025-12-10 19:00:00,up,5,1.16779,0.0,0.19952217436353653,0.10447083807876405,0.5086530968752802,0.0,0.6696409457179747,True,False,False,False,,0.19952217436353653,0.10447083807876405,0.5086530968752802
EURUSD,H1,2025-12-12 21:00:00,3,BB+Pivot+SR,23.383732682162684,0.0021187059448735637,0.2589548106818801,0.2589548106818801,0.2589548106818801,2025-12-15 14:00:00,up,17,1.17633,0.0,-0.17427082536364005,-0.08586026030112107,-0.06375761903547715,-0.17427082536364005,0.0,False,False,False,False,,-0.17427082536364005,-0.08586026030112107,-0.06375761903547715
EURUSD,H1,2025-12-15 03:00:00,4,BB+Pivot+SR+ADX<20,16.577069234973877,0.0021715820231823263,0.25907839678196776,0.25907839678196776,0.25907839678196776,2025-12-15 14:00:00,up,11,1.17633,0.0,-0.17427082536364005,-0.08586026030112107,-0.06375761903547715,-0.17427082536364005,0.0,False,False,False,False,,-0.17427082536364005,-0.08586026030112107,-0.06375761903547715
EURUSD,H1,2025-12-15 09:00:00,5,BB+Pivot+SR+ADX<20+ADX<13,12.47171260785584,0.001672415947780982,0.22651792557267175,0.22651792557267175,0.22651792557267175,2025-12-15 14:00:00,up,5,1.17633,0.0,-0.17427082536364005,-0.08586026030112107,-0.06375761903547715,-0.17427082536364005,0.0,False,False,False,False,,-0.17427082536364005,-0.08586026030112107,-0.06375761903547715
EURUSD,H1,2025-12-16 01:00:00,2,ADX<20+ADX<13,12.924543902664258,0.003068563222853843,0.3616559588137759,0.3616559588137759,0.3616559588137759,2025-12-16 14:00:00,up,13,1.17994,0.0,-0.3957828364154069,-0.427140363069303,-0.7093581029543865,-0.7619031476176801,0.0,False,False,False,False,,-0.3957828364154069,-0.427140363069303,-0.7093581029543865
EURUSD,H1,2025-12-16 07:00:00,5,BB+Pivot+SR+ADX<20+ADX<13,10.356784545046425,0.0016421530480619513,0.2595302927161332,0.2595302927161332,0.2595302927161332,2025-12-16 12:00:00,up,5,1.17776,0.0,-0.07556717837248976,-0.25302268713489867,-0.5518951229452478,-0.5782162749626395,0.1850971335416444,False,False,False,True,12.0,-0.07556717837248976,-0.25302268713489867,-0.5518951229452478
EURUSD,H1,2025-12-19 21:00:00,4,BB+Pivot+SR+ADX<20,16.187016088264503,0.0019311820169046793,0.29805622928978864,0.29805622928978864,0.29805622928978864,2025-12-22 13:00:00,up,16,1.17503,0.0,0.06467919968001616,0.0723385785894843,0.2876522301558206,-0.008510421010526454,0.35743768244214885,True,False,False,False,,0.06467919968001616,0.0723385785894843,0.2876522301558206
EURUSD,H1,2025-12-22 03:00:00,4,BB+Pivot+SR+ADX<20,15.836573727897411,0.001722043004047995,0.2978527293209976,0.2978527293209976,0.2978527293209976,2025-12-22 13:00:00,up,10,1.17503,0.0,0.06467919968001616,0.0723385785894843,0.2876522301558206,-0.008510421010526454,0.35743768244214885,True,False,False,False,,0.06467919968001616,0.0723385785894843,0.2876522301558206
EURUSD,H1,2025-12-22 09:00:00,3,Pivot+SR+ADX<20,15.533342779563258,0.00247939135636306,0.2736642880892039,0.2736642880892039,0.30179799994883727,2025-12-22 13:00:00,up,4,1.17503,0.0,0.06467919968001616,0.0723385785894843,0.2876522301558206,-0.008510421010526454,0.35743768244214885,True,False,False,False,,0.06467919968001616,0.0723385785894843,0.2876522301558206
EURUSD,H1,2025-12-26 04:00:00,3,Pivot+SR+ADX<20,17.234774907719757,0.0022127455835873437,0.23932987634623434,0.23932987634623434,0.23932987634623434,2025-12-26 16:00:00,down,12,1.17648,0.0,0.08329933360532953,0.161498708010337,0.005099959200322061,-0.161498708010337,0.07734938120494751,False,False,False,False,,-0.08329933360532953,-0.161498708010337,-0.005099959200322061
EURUSD,H1,2025-12-26 10:00:00,4,BB+Pivot+SR+ADX<20,18.883194254926778,0.001848717078409131,0.2301916281598252,0.2301916281598252,0.2301916281598252,2025-12-29 05:00:00,down,19,1.17557,0.0,0.17183153704159776,0.22882516566432293,0.1446106994904629,-0.23733167739905495,0.034026046938928,False,False,False,True,3.0,-0.17183153704159776,-0.22882516566432293,-0.1446106994904629
