trade_id,event_id,symbol,direction,entry_time,entry_price,exit_time,exit_price,exit_rule,gross_pnl_pct,cost_pct,net_pnl_pct,mfe_pct,mae_pct,bars_held,fold
T000001,EURUSD_202506101300_up_000001,EURUSD,up,2025-06-10 13:00:00,1.14425,2025-06-10 18:00:00,1.14199,fixed_hold_5bar,-0.1975092855582197,0.015,-0.21250928555821968,0.04282280970068617,0.10749399169762415,5,train
T000002,EURUSD_202506101300_up_000001,EURUSD,up,2025-06-10 13:00:00,1.14425,2025-06-10 23:00:00,1.14372,fixed_hold_10bar,-0.04631854926807248,0.015,-0.06131854926807248,0.04282280970068617,0.10749399169762415,10,train
T000003,EURUSD_202506101300_up_000001,EURUSD,up,2025-06-10 13:00:00,1.14425,2025-06-11 13:00:00,1.14699,structure_stop,0.2394581603670496,0.015,0.22445816036704958,0.04282280970068617,0.10749399169762415,24,train
T000004,EURUSD_202506111200_up_000003,EURUSD,up,2025-06-11 12:00:00,1.14602,2025-06-11 17:00:00,1.14971,fixed_hold_5bar,0.32198390953037215,0.015,0.30698390953037213,0.7565312996282748,-0.5453657004240647,5,train
T000005,EURUSD_202506111200_up_000003,EURUSD,up,2025-06-11 12:00:00,1.14602,2025-06-11 22:00:00,1.15055,fixed_hold_10bar,0.39528105966736377,0.015,0.38028105966736375,0.7565312996282748,-0.5453657004240647,10,train
T000006,EURUSD_202506111200_up_000003,EURUSD,up,2025-06-11 12:00:00,1.14602,2025-06-12 12:00:00,1.16094,structure_stop,1.3018970000523589,0.015,1.286897000052359,0.7565312996282748,-0.5453657004240647,24,train
T000007,EURUSD_202506160700_up_000006,EURUSD,up,2025-06-16 07:00:00,1.15784,2025-06-16 12:00:00,1.1583700000000001,fixed_hold_5bar,0.045774891176686025,0.015,0.030774891176686026,0.31006011193256255,-0.09241345954537125,5,train
T000008,EURUSD_202506160700_up_000006,EURUSD,up,2025-06-16 07:00:00,1.15784,2025-06-16 17:00:00,1.1577600000000001,fixed_hold_10bar,-0.0069094175360894395,0.015,-0.021909417536089437,0.31006011193256255,-0.09241345954537125,10,train
T000009,EURUSD_202506160700_up_000006,EURUSD,up,2025-06-16 07:00:00,1.15784,2025-06-17 07:00:00,1.15575,structure_stop,-0.18050853313065063,0.015,-0.19550853313065064,0.31006011193256255,-0.09241345954537125,24,train
T000010,EURUSD_202506171400_down_000007,EURUSD,down,2025-06-17 14:00:00,1.15263,2025-06-17 19:00:00,1.14841,fixed_hold_5bar,0.36611922299437916,0.015,0.35111922299437914,0.06940648777145605,0.29758031632007187,5,train
T000011,EURUSD_202506171400_down_000007,EURUSD,down,2025-06-17 14:00:00,1.15263,2025-06-18 00:00:00,1.1492,fixed_hold_10bar,0.29758031632007187,0.015,0.28258031632007186,0.06940648777145605,0.29758031632007187,10,train
T000012,EURUSD_202506171400_down_000007,EURUSD,down,2025-06-17 14:00:00,1.15263,2025-06-18 14:00:00,1.1507,structure_stop,0.16744315174860863,0.015,0.15244315174860862,0.06940648777145605,0.29758031632007187,24,train
T000013,EURUSD_202506190100_down_000008,EURUSD,down,2025-06-19 01:00:00,1.14528,2025-06-19 06:00:00,1.14663,fixed_hold_5bar,-0.11787510477786763,0.015,-0.13287510477786763,-0.34140122939367296,0.4103799944118404,5,train
T000014,EURUSD_202506190100_down_000008,EURUSD,down,2025-06-19 01:00:00,1.14528,2025-06-19 11:00:00,1.14807,fixed_hold_10bar,-0.24360854987425326,0.015,-0.25860854987425325,-0.34140122939367296,0.4103799944118404,10,train
T000015,EURUSD_202506190100_down_000008,EURUSD,down,2025-06-19 01:00:00,1.14528,2025-06-20 01:00:00,1.15129,structure_stop,-0.5247625034925825,0.015,-0.5397625034925825,-0.34140122939367296,0.4103799944118404,24,train
T000016,EURUSD_202506191900_up_000011,EURUSD,up,2025-06-19 19:00:00,1.14974,2025-06-20 00:00:00,1.15224,fixed_hold_5bar,0.21744046480073292,0.015,0.2024404648007329,0.32442117348270144,-0.23135665454799403,5,train
T000017,EURUSD_202506191900_up_000011,EURUSD,up,2025-06-19 19:00:00,1.14974,2025-06-20 05:00:00,1.15271,fixed_hold_10bar,0.258319272183269,0.015,0.243319272183269,0.32442117348270144,-0.23135665454799403,10,train
T000018,EURUSD_202506191900_up_000011,EURUSD,up,2025-06-19 19:00:00,1.14974,2025-06-20 19:00:00,1.15155,structure_stop,0.15742689651574177,0.015,0.14242689651574175,0.32442117348270144,-0.23135665454799403,24,train
T000019,EURUSD_202506231000_down_000012,EURUSD,down,2025-06-23 10:00:00,1.14622,2025-06-23 15:00:00,1.1537,fixed_hold_5bar,-0.6525797839856162,0.015,-0.6675797839856162,-1.2196611470747416,1.3950201531992068,5,train
T000020,EURUSD_202506231000_down_000012,EURUSD,down,2025-06-23 10:00:00,1.14622,2025-06-23 20:00:00,1.15781,fixed_hold_10bar,-1.011149692031197,0.015,-1.026149692031197,-1.2196611470747416,1.3950201531992068,10,train
T000021,EURUSD_202506231000_down_000012,EURUSD,down,2025-06-23 10:00:00,1.14622,2025-06-23 14:00:00,1.15347,structure_stop,-0.6325138280609288,0.015,-0.6475138280609288,-1.2196611470747416,1.3950201531992068,4,train
T000022,EURUSD_202506222100_down_000013,EURUSD,down,2025-06-22 21:00:00,1.14726,2025-06-23 02:00:00,1.14991,fixed_hold_5bar,-0.2309851297874973,0.015,-0.24598512978749731,-0.5901016334571209,0.8768718511932743,5,train
T000023,EURUSD_202506222100_down_000013,EURUSD,down,2025-06-22 21:00:00,1.14726,2025-06-23 07:00:00,1.14983,fixed_hold_10bar,-0.2240119937939056,0.015,-0.23901199379390559,-0.5901016334571209,0.8768718511932743,10,train
T000024,EURUSD_202506222100_down_000013,EURUSD,down,2025-06-22 21:00:00,1.14726,2025-06-23 15:00:00,1.15435,structure_stop,-0.617994177431449,0.015,-0.632994177431449,-0.5901016334571209,0.8768718511932743,18,train
T000025,EURUSD_202506251600_up_000014,EURUSD,up,2025-06-25 16:00:00,1.16305,2025-06-25 21:00:00,1.16558,fixed_hold_5bar,0.2175314904776358,0.015,0.2025314904776358,0.9810412278062116,-0.7102016250376301,5,train
T000026,EURUSD_202506251600_up_000014,EURUSD,up,2025-06-25 16:00:00,1.16305,2025-06-26 02:00:00,1.16902,fixed_hold_10bar,0.5133055328661735,0.015,0.4983055328661735,0.9810412278062116,-0.7102016250376301,10,train
T000027,EURUSD_202506251600_up_000014,EURUSD,up,2025-06-25 16:00:00,1.16305,2025-06-26 16:00:00,1.17291,structure_stop,0.8477709470787997,0.015,0.8327709470787997,0.9810412278062116,-0.7102016250376301,24,train
T000028,EURUSD_202506251800_up_000015,EURUSD,up,2025-06-25 18:00:00,1.16606,2025-06-25 23:00:00,1.1683,fixed_hold_5bar,0.19209989194379343,0.015,0.17709989194379344,0.7203745947892872,-0.45023412174330446,5,train
T000029,EURUSD_202506251800_up_000015,EURUSD,up,2025-06-25 18:00:00,1.16606,2025-06-26 04:00:00,1.16795,fixed_hold_10bar,0.16208428382758583,0.015,0.14708428382758582,0.7203745947892872,-0.45023412174330446,10,train
T000030,EURUSD_202506251800_up_000015,EURUSD,up,2025-06-25 18:00:00,1.16606,2025-06-26 18:00:00,1.17201,structure_stop,0.5102653379757387,0.015,0.4952653379757387,0.7203745947892872,-0.45023412174330446,24,train
T000031,EURUSD_202506251700_up_000017,EURUSD,up,2025-06-25 17:00:00,1.16422,2025-06-25 22:00:00,1.16591,fixed_hold_5bar,0.1451615674013476,0.015,0.1301615674013476,0.879558846266172,-0.6089914277370291,5,train
T000032,EURUSD_202506251700_up_000017,EURUSD,up,2025-06-25 17:00:00,1.16422,2025-06-26 03:00:00,1.16943,fixed_hold_10bar,0.4475099208053407,0.015,0.4325099208053407,0.879558846266172,-0.6089914277370291,10,train
T000033,EURUSD_202506251700_up_000017,EURUSD,up,2025-06-25 17:00:00,1.16422,2025-06-26 17:00:00,1.17246,structure_stop,0.7077700091048105,0.015,0.6927700091048105,0.879558846266172,-0.6089914277370291,24,train
T000034,EURUSD_202506301500_up_000018,EURUSD,up,2025-06-30 15:00:00,1.17694,2025-06-30 20:00:00,1.1786699999999999,fixed_hold_5bar,0.1469913504511519,0.015,0.1319913504511519,0.5106462521453811,-0.3500603259299455,5,train
