min_score,max_wait,min_atr,require_structural,setups,breakouts,breakout_rate,win_rate_5bar,win_loss_ratio,expectancy,hit_1r,stop_rate,validation,score
2,10,0.1,False,1538,810,0.5266579973992198,0.5234567901234568,1.0277362073926566,0.01659068428996527,0.145679012345679,0.10493827160493827,逻辑需要调整,0.6506425581007624
2,10,0.1,True,1359,734,0.5401030169242089,0.5245231607629428,0.9594030636411535,0.00772424327543117,0.14986376021798364,0.11716621253405994,逻辑需要调整,0.2847512713719841
2,10,0.25,False,1538,608,0.3953185955786736,0.5032894736842105,0.9587612558738968,-0.004101007559377201,0.15625,0.10361842105263158,逻辑需要调整,-0.16083062052103772
2,10,0.25,True,1359,547,0.4025018395879323,0.4936014625228519,0.9191955049639432,-0.01533570522659436,0.1590493601462523,0.1170018281535649,暂不建议进入实盘,-0.5653449023995125
2,10,0.5,False,1538,361,0.23472041612483746,0.4930747922437673,0.8637535707093368,-0.0266191668158845,0.13850415512465375,0.09141274238227147,暂不建议进入实盘,-1.0439329981147074
2,10,0.5,True,1359,328,0.24135393671817512,0.49390243902439024,0.8689554585934186,-0.026196414992726763,0.13414634146341464,0.10670731707317073,暂不建议进入实盘,-0.9657208102564147
2,15,0.1,False,1538,1019,0.6625487646293888,0.5201177625122669,1.1065617457562424,0.024523982862093924,0.14425907752698724,0.15996074582924436,逻辑需要调整,0.9617654501365628
2,15,0.1,True,1359,916,0.6740250183958794,0.5207423580786026,1.0228239526127767,0.014219200104898244,0.14956331877729256,0.16812227074235808,逻辑需要调整,0.5241853685060704
2,15,0.25,False,1538,811,0.5273081924577373,0.4969173859432799,1.0248303415907956,0.0016596042060403882,0.15536374845869297,0.14796547472256474,逻辑需要调整,0.06508526756223167
2,15,0.25,True,1359,731,0.5378955114054452,0.4856361149110807,0.9897955460684769,-0.00918415814599946,0.15868673050615595,0.15868673050615595,暂不建议进入实盘,-0.3385704741942801
2,15,0.5,False,1538,531,0.34525357607282187,0.4952919020715631,0.906421170035764,-0.017044416188139094,0.15254237288135594,0.12994350282485875,暂不建议进入实盘,-0.6684367176278828
2,15,0.5,True,1359,477,0.3509933774834437,0.48846960167714887,0.8917347750151123,-0.024473160375519,0.1530398322851153,0.14465408805031446,暂不建议进入实盘,-0.9021936884853616
2,20,0.1,False,1538,1154,0.7503250975292588,0.5190641247833622,1.1035223930743907,0.0236226159980273,0.14211438474870017,0.21143847487001732,逻辑需要调整,0.9264162365674582
