trade_id,symbol,direction,entry_time,exit_time,exit_rule,gross_pnl_pct,net_pnl_pct,bars_held,fold
T000290,ETHUSD,up,2025-10-05 03:00:00,2025-10-06 09:00:00,1r_partial_time,0.9298517048752681,0.8798517048752681,30,validation
T000291,ETHUSD,down,2025-11-03 02:00:00,2025-11-03 06:00:00,1r_partial_trail,2.2382262715100127,2.188226271510013,4,validation
T000292,ETHUSD,down,2025-11-03 01:00:00,2025-11-03 03:00:00,1r_partial_trail,1.8752102034378249,1.8252102034378248,2,validation
T000293,ETHUSD,up,2025-11-26 17:00:00,2025-11-27 23:00:00,1r_partial_time,-0.3828048554729831,-0.4328048554729831,30,validation
T000294,ETHUSD,up,2025-12-09 15:00:00,2025-12-10 19:00:00,1r_partial_trail,4.1926848963791254,4.142684896379126,28,validation
T000295,ETHUSD,down,2025-12-12 15:00:00,2025-12-13 21:00:00,1r_partial_time,-1.3392580816455402,-1.3892580816455402,30,validation
T000296,ETHUSD,up,2025-12-29 00:00:00,2025-12-29 02:00:00,1r_partial_trail,1.2366003321227519,1.1866003321227518,2,validation
T000297,ETHUSD,down,2026-01-25 17:00:00,2026-01-26 23:00:00,1r_partial_time,-1.6176092589633742,-1.6676092589633742,30,test
T000298,ETHUSD,down,2026-01-25 07:00:00,2026-01-25 16:00:00,1r_partial_trail,1.3381717277772434,1.2881717277772433,9,test
T000299,ETHUSD,down,2026-02-22 13:00:00,2026-02-23 01:00:00,1r_partial_trail,3.200141624162314,3.1501416241623144,12,test
T000300,ETHUSD,up,2026-03-04 08:00:00,2026-03-04 22:00:00,1r_partial_trail,4.925827172463942,4.875827172463942,14,test
T000301,ETHUSD,down,2026-03-06 13:00:00,2026-03-07 19:00:00,1r_partial_time,3.226972478881333,3.1769724788813334,30,test
T000302,ETHUSD,down,2026-04-05 06:00:00,2026-04-05 22:00:00,1r_partial_stop,-2.0507534481912324,-2.100753448191232,16,test
T000303,ETHUSD,up,2026-04-17 13:00:00,2026-04-18 19:00:00,1r_partial_time,-3.6433526556968125,-3.6933526556968124,30,test
T000304,ETHUSD,up,2026-04-26 07:00:00,2026-04-26 18:00:00,1r_partial_trail,1.0674393466250294,1.0174393466250293,11,test
T000305,ETHUSD,down,2026-05-22 18:00:00,2026-05-23 07:00:00,1r_partial_trail,2.7504899880304583,2.7004899880304585,13,test
