event_id,symbol,breakout_timestamp,direction,entry_price,returns_5bar,returns_10bar,pnl_5bar,trend_alignment,stopped
EURUSD_202408021200_up_000001,EURUSD,2024-08-02 12:00:00,up,1.08907,0.18364292469721888,0.1395686227698831,0.18364292469721888,against_trend,False
EURUSD_202409230700_down_000002,EURUSD,2024-09-23 07:00:00,down,1.1101,0.1891721466534538,0.17295739122600862,-0.1891721466534538,against_trend,False
EURUSD_202410010700_down_000003,EURUSD,2024-10-01 07:00:00,down,1.1114600000000001,-0.39497597754306185,-0.4750508340381276,0.39497597754306185,against_trend,False
EURUSD_202412051300_up_000004,EURUSD,2024-12-05 13:00:00,up,1.05666,0.010410160316474033,0.18454375106468668,0.010410160316474033,against_trend,False
EURUSD_202412051300_up_000005,EURUSD,2024-12-05 13:00:00,up,1.05666,0.010410160316474033,0.18454375106468668,0.010410160316474033,against_trend,False
EURUSD_202412100800_down_000006,EURUSD,2024-12-10 08:00:00,down,1.05374,-0.14140110463681663,-0.11767608708029571,0.14140110463681663,with_trend,False
EURUSD_202501201300_up_000007,EURUSD,2025-01-20 13:00:00,up,1.03977,-0.014426267347595573,0.22024101483981104,-0.014426267347595573,against_trend,False
EURUSD_202501240300_up_000008,EURUSD,2025-01-24 03:00:00,up,1.04458,0.4528135710046048,0.21444025349901583,0.4528135710046048,with_trend,False
EURUSD_202504090000_up_000009,EURUSD,2025-04-09 00:00:00,up,1.10145,0.42398656316673045,0.16705252167597837,0.42398656316673045,with_trend,False
EURUSD_202504090000_up_000010,EURUSD,2025-04-09 00:00:00,up,1.10145,0.42398656316673045,0.16705252167597837,0.42398656316673045,with_trend,False
EURUSD_202506020500_up_000011,EURUSD,2025-06-02 05:00:00,up,1.13792,0.31373031496063636,0.44906496062991663,0.31373031496063636,with_trend,False
EURUSD_202506111200_up_000012,EURUSD,2025-06-11 12:00:00,up,1.14602,0.32198390953037215,0.39528105966736377,0.32198390953037215,with_trend,False
EURUSD_202603082100_down_000013,EURUSD,2026-03-08 21:00:00,down,1.15468,-0.19226105934110652,0.1420306924862374,0.19226105934110652,with_trend,False
GBPUSD_202408060900_down_000014,GBPUSD,2024-08-06 09:00:00,down,1.27098,-0.03304536656751994,-0.14791735511181164,0.03304536656751994,with_trend,False
GBPUSD_202409111300_down_000015,GBPUSD,2024-09-11 13:00:00,down,1.30324,0.08287038457996762,0.038365918787018886,-0.08287038457996762,with_trend,False
GBPUSD_202409111300_down_000016,GBPUSD,2024-09-11 13:00:00,down,1.30324,0.08287038457996762,0.038365918787018886,-0.08287038457996762,with_trend,False
GBPUSD_202410010700_down_000017,GBPUSD,2024-10-01 07:00:00,down,1.33378,-0.14994976682811273,-0.5210754397276921,0.14994976682811273,against_trend,False
GBPUSD_202411211500_down_000018,GBPUSD,2024-11-21 15:00:00,down,1.26173,-0.1735712077861457,-0.23539109001132708,0.1735712077861457,with_trend,False
GBPUSD_202501020800_down_000019,GBPUSD,2025-01-02 08:00:00,down,1.24975,-0.7505501100219999,-1.030606121224245,0.7505501100219999,with_trend,False
GBPUSD_202502201700_up_000020,GBPUSD,2025-02-20 17:00:00,up,1.26517,0.1122378810752687,0.14069255515070028,0.1122378810752687,with_trend,False
GBPUSD_202502201500_up_000021,GBPUSD,2025-02-20 15:00:00,up,1.264,0.23417721518987925,0.12183544303798234,0.23417721518987925,with_trend,False
GBPUSD_202503261200_down_000022,GBPUSD,2025-03-26 12:00:00,down,1.28926,-0.07368568015761029,-0.13961497293020986,0.07368568015761029,against_trend,False
GBPUSD_202504281300_up_000023,GBPUSD,2025-04-28 13:00:00,up,1.33661,0.4429115448784555,0.510994231675649,0.4429115448784555,with_trend,False
GBPUSD_202505061000_up_000024,GBPUSD,2025-05-06 10:00:00,up,1.33503,0.12284368141540535,0.13557747765968475,0.12284368141540535,with_trend,False
GBPUSD_202505061000_up_000025,GBPUSD,2025-05-06 10:00:00,up,1.33503,0.12284368141540535,0.13557747765968475,0.12284368141540535,with_trend,False
GBPUSD_202505071900_down_000026,GBPUSD,2025-05-07 19:00:00,down,1.3296299999999999,-0.008272978196929405,0.18576596496771242,0.008272978196929405,against_trend,False
GBPUSD_202505190600_up_000027,GBPUSD,2025-05-19 06:00:00,up,1.33206,0.4571866132156156,0.2514901731153224,0.4571866132156156,with_trend,False
GBPUSD_202506020600_up_000028,GBPUSD,2025-06-02 06:00:00,up,1.35309,0.033257211271982015,-0.06651442254394763,0.033257211271982015,with_trend,False
GBPUSD_202506020600_up_000029,GBPUSD,2025-06-02 06:00:00,up,1.35309,0.033257211271982015,-0.06651442254394763,0.033257211271982015,with_trend,False
GBPUSD_202507010700_up_000030,GBPUSD,2025-07-01 07:00:00,up,1.37671,-0.19030877962679627,-0.22299540208178398,-0.19030877962679627,with_trend,False
GBPUSD_202507010700_up_000031,GBPUSD,2025-07-01 07:00:00,up,1.37671,-0.19030877962679627,-0.22299540208178398,-0.19030877962679627,with_trend,False
GBPUSD_202507010700_up_000032,GBPUSD,2025-07-01 07:00:00,up,1.37671,-0.19030877962679627,-0.22299540208178398,-0.19030877962679627,with_trend,False
GBPUSD_202507010700_up_000033,GBPUSD,2025-07-01 07:00:00,up,1.37671,-0.19030877962679627,-0.22299540208178398,-0.19030877962679627,with_trend,False
GBPUSD_202509151000_up_000034,GBPUSD,2025-09-15 10:00:00,up,1.3606500000000001,-0.0007349428581975902,-0.06467497152097997,-0.0007349428581975902,with_trend,False
GBPUSD_202601221500_up_000035,GBPUSD,2026-01-22 15:00:00,up,1.3477000000000001,0.14469095496029502,0.15136899903538023,0.14469095496029502,against_trend,False
GBPUSD_202601221500_up_000036,GBPUSD,2026-01-22 15:00:00,up,1.3477000000000001,0.14469095496029502,0.15136899903538023,0.14469095496029502,with_trend,False
GBPUSD_202603271000_down_000037,GBPUSD,2026-03-27 10:00:00,down,1.33013,-0.07969145872960243,-0.2766646869103116,0.07969145872960243,with_trend,False
